System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0332432,MANGUM ELEMENTARY SCHOOL,GW,365,2/29/2024,DURHAM,3.07,7.37,ND,2.91,ND,1.85,2024
NC0332432,MANGUM ELEMENTARY SCHOOL,GW,365,2/29/2024,DURHAM,3.31,8.38,ND,2.83,ND,1.91,2024
NC0347108,DOC-MCCAIN HOSPITAL,GW,0,3/12/2024,HOKE,1,ND,ND,ND,ND,0.999,2024
NC0368105,BIRCHWOOD MHP,GW,312,2/29/2024,ORANGE,2.29,2.57,ND,1.32,ND,1.41,2024
NC0382400,SMITHFIELD FRESH MEATS CORP - CLIN,GW,1680,3/12/2024,SAMPSON,ND,ND,ND,ND,ND,ND,2024
NC0383107,LAURINBURG-MAXTON AIRPORT,GW,1049,3/18/2024,SCOTLAND,1.24,ND,ND,2.5,ND,0.682,2024
NC0383107,LAURINBURG-MAXTON AIRPORT,GW,1049,3/18/2024,SCOTLAND,1.14,ND,ND,2.53,ND,ND,2024
NC0392102,ALL STAR MHP,GW,530,4/4/2024,WAKE,1.53,3.12,ND,1.76,ND,2.9,2024
NC0392107,70 EAST MOBILE ACRES,GW,140,4/4/2024,WAKE,ND,ND,ND,ND,ND,ND,2024
NC0392190,SOUTHSIDE MHP,GW,254,4/4/2024,WAKE,8.76,1.36,ND,2,ND,7.4,2024
NC0392190,SOUTHSIDE MHP,GW,254,10/8/2024,WAKE,0.833,0.921,ND,1.46,ND,0.85,2024
NC0392190,SOUTHSIDE MHP,GW,254,10/8/2024,WAKE,ND,0.796,ND,ND,ND,0.891,2024
NC0392769,MONKS COMMERCIAL PARK,GW,50,4/8/2024,WAKE,ND,ND,ND,ND,ND,ND,2024
NC0392978,FALLS ACADEMY,GW,115,3/7/2024,WAKE,ND,1.42,ND,19.6,ND,1.14,2024
NC0407545,PCS PHOSPHATE-MILL OFFICE,GW,130,4/18/2024,BEAUFORT,ND,ND,ND,ND,ND,ND,2024
NC0407545,PCS PHOSPHATE-MILL OFFICE,GW,130,4/18/2024,BEAUFORT,ND,ND,ND,ND,ND,ND,2024
NC0407557,PCS PHOSPHATE-MINE OFFICE,GW,101,4/18/2024,BEAUFORT,ND,ND,ND,ND,ND,ND,2024
NC0407558,PCS PHOSPHATE-CENTRAL MAINT,GW,408,4/18/2024,BEAUFORT,ND,ND,ND,ND,ND,0.635,2024
NC0407559,PCS PHOSPHATE-SPA/FERT,GW,192,4/18/2024,BEAUFORT,ND,ND,ND,ND,ND,ND,2024
NC0407560,PCS PHOSPHATE-PURCH/TECH SERV,GW,136,4/18/2024,BEAUFORT,ND,ND,ND,ND,ND,ND,2024
NC0408417,PERDUE FOODS LLC,GW,2000,7/9/2024,BERTIE,ND,ND,ND,ND,ND,ND,2024
NC0416025,HARKERS ISLAND SANITARY DIST,GW,2358,2/29/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416025,HARKERS ISLAND SANITARY DIST,GW,2358,2/29/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416197,NORTH RIVER/MILL CREEK WATER SERV,GW,2950,4/2/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416197,NORTH RIVER/MILL CREEK WATER SERV,GW,2950,4/2/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416198,MERRIMON WATER SYSTEM,GW,71,2/29/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416402,DOT-CEDAR ISLAND FERRY TERM,GW,200,3/5/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416402,DOT-CEDAR ISLAND FERRY TERM,GW,200,3/5/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416406,SMYRNA ELEM SCHOOL,GW,375,4/2/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0416410,ATLANTIC ELEMENTARY,GW,115,2/29/2024,CARTERET,ND,ND,ND,ND,ND,ND,2024
NC0424460,NATIONAL SPINNING COMPANY WHITEV,GW,0,3/6/2024,COLUMBU,ND,ND,ND,ND,ND,ND,2024
NC0425518,INTERNATIONAL PAPER- NEW BERN MIL,GW,375,6/28/2024,CRAVEN,ND,ND,ND,ND,ND,ND,2024
NC0425625,INTERNATIONAL PAPER ADMINISTATIVE,GW,30,6/28/2024,CRAVEN,ND,ND,ND,ND,ND,ND,2024
NC0427409,KNOTT`S ISLAND ELEM SCHOOL,GW,125,7/9/2024,CURRITUC,ND,ND,ND,ND,ND,ND,2024
NC0427409,KNOTT`S ISLAND ELEM SCHOOL,GW,125,7/9/2024,CURRITUC,ND,ND,ND,ND,ND,ND,2024
NC0428414,DOT-NC STATE SHIPYARD,GW,60,7/9/2024,DARE,ND,ND,ND,ND,ND,ND,2024
NC0428462,WANCHESE MARINE INDUSTRIAL PARK,GW,280,7/9/2024,DARE,ND,ND,ND,ND,ND,ND,2024
NC0431476,LEAR CORPORATION,GW,510,3/6/2024,DUPLIN,ND,ND,ND,ND,ND,ND,2024
NC0431477,HOUSE OF RAEFORD--WALLACE,GW,625,3/6/2024,DUPLIN,ND,ND,ND,ND,ND,ND,2024
NC0431485,HOUSE OF RAEFORD,GW,600,3/6/2024,DUPLIN,ND,ND,ND,ND,ND,ND,2024
NC0464050,MIDDLESEX WATER SYSTEM,GW,1350,4/1/2024,NASH,1.65,ND,ND,0.991,ND,0.795,2024
NC0464050,MIDDLESEX WATER SYSTEM,GW,1350,4/1/2024,NASH,1.54,ND,ND,1.07,ND,0.735,2024
NC0464433,W & W-AFCO STEEL_0464433,GW,48,4/1/2024,NASH,ND,ND,ND,ND,ND,ND,2024
NC0464493,OAK LEVEL MAINTENANCE OFFICE,GW,36,4/17/2024,NASH,ND,ND,ND,ND,ND,ND,2024
NC0465532,CORNING INC,GW,1060,5/1/2024,NEW HAN,11.5,9.67,13,10,0.924,5.15,2024
NC0465532,CORNING INC,GW,1060,5/1/2024,NEW HAN,11.4,9.83,13.9,10,0.935,5.21,2024
NC0471444,WEST PENDER MIDDLE SCHOOL,GW,242,3/6/2024,PENDER,14.2,7.65,ND,1.39,2.44,2.54,2024
