System Name,County,System PWS ID,SYS_SAMPLE_CODE,SYS_LOC_CODE,LOC_TYPE,Sample Date,LAB_SDG,GenX_ng_L,PFOA_ng_L,PFOS_ng_L,year,Source Water Type,Population,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L
MAPLE HILLS MHP,HENDERSON,NC0145115,,,,9/13/2023,,ND,4.99,2.69,2023,Groundwater,185.0,3.41,ND,1.83
MAPLE OAKS MHP,ALAMANCE,NC0201174,,,,10/31/2023,,ND,ND,ND,2023,Groundwater,55.0,ND,ND,ND
MAPLE VIEW MHP,ALAMANCE,NC0201190,,,,8/15/2023,,ND,18.5,11.8,2023,Groundwater,96.0,2.74,1.16,20.9
MARBLE COMMUNITY WTR SYSTEM,CHEROKEE,NC0120025,,,,9/20/2023,,ND,ND,ND,2023,Groundwater,999.0,ND,ND,ND
MARION MOOSE LODGE,MCDOWELL,NC0156132,,,,9/6/2023,,ND,ND,ND,2023,Groundwater,320.0,ND,ND,ND
MARION MOOSE LODGE-MOUNTAIN,MCDOWELL,NC0156133,,,,9/6/2023,,ND,ND,ND,2023,Groundwater,160.0,ND,ND,ND
MARYVALE DAY SCHOOL & ST KATES,LINCOLN,NC0155496,,,,10/9/2023,,ND,ND,ND,2023,Groundwater,97.0,ND,ND,ND
MCBRIDE`S MHP,FORSYTH,NC0234167,,,,9/5/2023,,ND,35.8,30.6,2023,Groundwater,190.0,6.4,0.631,18.2
MCDOWELL HOUSE REST HOME,MCDOWELL,NC1056009,,,,9/27/2023,,ND,2.28,ND,2023,Groundwater,36.0,ND,ND,ND
MEADOW LAKE S/D,WAKE,NC0392159,,,,7/12/2023,,ND,1.29,1.06,2023,Groundwater,42.0,ND,ND,3.36
MEADOW LAKE S/D,FRANKLIN,NC4035018,,,,5/25/2023,,ND,ND,ND,2023,Groundwater,102.0,ND,ND,ND
MEADOWLANE ESTATES MHP,ALAMANCE,NC0201120,,,,8/29/2023,,ND,ND,ND,2023,Groundwater,48.0,ND,ND,ND
MEADOWVIEW MHP,GUILFORD,NC0241125,,,,10/24/2023,,ND,2.24,1.54,2023,Groundwater,92.0,0.756,ND,0.825
MEADOWVIEW TRAILER COURT,CASWELL,NC0217107,,,,10/26/2023,,ND,0.915,1.19,2023,Groundwater,60.0,ND,ND,0.744
MELMONT WATER SYSTEM,POLK,NC0175102,,,,10/11/2023,,ND,0.77,ND,2023,Groundwater,127.0,ND,ND,ND
MELTON MHP,GASTON,NC0136379,,,,8/2/2023,,ND,1.41,ND,2023,Groundwater,43.0,1.97,ND,1.33
MENDENHALL S/D,WAKE,NC4092174,,,,5/18/2023,,ND,ND,ND,2023,Groundwater,25.0,ND,ND,ND
MIDWAY ROAD MHP,IREDELL,NC0149180,,,,10/17/2023,,ND,ND,ND,2023,Groundwater,102.0,ND,ND,ND
MILLENNIUM WATER ASSOCIATION,HERTFORD,NC0446025,,,,11/13/2023,,ND,ND,ND,2023,Groundwater,711.0,ND,ND,ND
MILLS RIVER SEVENTH DAY ADVENT,HENDERSON,NC0145565,,,,9/13/2023,,ND,ND,0.906,2023,Groundwater,50.0,ND,ND,ND
MILLSTONE S/D,FRANKLIN,NC4035009,,,,5/9/2023,,ND,ND,ND,2023,Groundwater,272.0,ND,ND,ND
MINTZ CHRISTIAN ACADEMY,SAMPSON,NC0382536,,,,8/8/2023,,ND,ND,ND,2023,Groundwater,250.0,ND,ND,ND
MISSION PARK B&L TRAILER COURT,DUPLIN,NC0431103,,,,8/8/2023,,ND,ND,ND,2023,Groundwater,65.0,ND,ND,ND
MOBIL LODGE MHP,ROWAN,NC0180130,,,,10/26/2023,,ND,7.07,4.59,2023,Groundwater,94.0,4.56,ND,3.35
MOBILE HILL ESTATE  NO 3,WAKE,NC0392303,,,,7/25/2023,,0.194,6.11,4.06,2023,Groundwater,105.0,3.63,ND,2.25
MOBILE HOME PARK HAVEN,GASTON,NC0136378,,,,10/18/2023,,ND,0.717,ND,2023,Groundwater,142.0,3.64,ND,0.743
MONROE`S MHP,GUILFORD,NC0241126,,,,9/26/2023,,ND,5.77,11.2,2023,Groundwater,187.0,16.5,ND,3.2
MONTGOMERY MOBILE ESTATES,FRANKLIN,NC0235102,,,,6/12/2023,,ND,33.7,3.54,2023,Groundwater,0.0,2.91,ND,11.3
MORNING STAR ASSISTED LIVING OF JACKSON,JACKSON,NC0150157,,,,7/27/2023,,ND,ND,ND,2023,Groundwater,80.0,ND,ND,ND
MORNINGTON S/D,WAKE,NC4092153,,,,5/16/2023,,ND,ND,ND,2023,Groundwater,170.0,ND,ND,ND
MOUNTAIN CREEK SHORES S/D,CATAWBA,NC0118283,,,,9/6/2023,,ND,ND,ND,2023,Groundwater,102.0,ND,ND,ND
MOUNTAIN PATHWAYS SCHOOL ANNEX,WATAUGA,NC3095014,,,,10/19/2023,,ND,0.956,2.81,2023,Groundwater,77.0,1.77,ND,0.749
MOUNTAIN TOP GOLF & LAKE CLUB,JACKSON,NC1050035,,,,8/28/2023,,ND,ND,ND,2023,Groundwater,406.0,ND,ND,ND
